GeoFIPS,Year,County,State,Income per capita,Population,Gross Income,Avg Rent,Rent as Percent Income,Rent Change YOY,Percent Rent Change YOY,Rent as Percent Income Change YOY
02010,2015,Aleutian Islands Census Area,AK,NA,NA,NA,NA,NA,NA,NA,NA
02010,2016,Aleutian Islands Census Area,AK,NA,NA,NA,NA,NA,NA,NA,NA
02010,2017,Aleutian Islands Census Area,AK,NA,NA,NA,NA,NA,NA,NA,NA
02010,2018,Aleutian Islands Census Area,AK,NA,NA,NA,NA,NA,NA,NA,NA
02010,2019,Aleutian Islands Census Area,AK,NA,NA,NA,NA,NA,NA,NA,NA
02010,2020,Aleutian Islands Census Area,AK,NA,NA,NA,NA,NA,NA,NA,NA
02010,2021,Aleutian Islands Census Area,AK,NA,NA,NA,NA,NA,NA,NA,NA
02901,2015,Aleutian Islands Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02901,2016,Aleutian Islands Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02901,2017,Aleutian Islands Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02901,2018,Aleutian Islands Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02901,2019,Aleutian Islands Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02901,2020,Aleutian Islands Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02901,2021,Aleutian Islands Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02013,2015,Aleutians East Borough,AK,49547,3382,167568,NA,NA,NA,NA,NA
02013,2016,Aleutians East Borough,AK,57494,3364,193409,NA,NA,NA,NA,NA
02013,2017,Aleutians East Borough,AK,58767,3457,203158,NA,NA,NA,NA,NA
02013,2018,Aleutians East Borough,AK,56813,3405,193448,NA,NA,NA,NA,NA
02013,2019,Aleutians East Borough,AK,60712,3370,204600,NA,NA,NA,NA,NA
02013,2020,Aleutians East Borough,AK,57605,3418,196895,NA,NA,NA,NA,NA
02013,2021,Aleutians East Borough,AK,60174,3398,204471,NA,NA,NA,NA,NA
02016,2015,Aleutians West Census Area,AK,54547,5529,301593,NA,NA,NA,NA,NA
02016,2016,Aleutians West Census Area,AK,57749,5422,313115,NA,NA,NA,NA,NA
02016,2017,Aleutians West Census Area,AK,55791,5416,302162,NA,NA,NA,NA,NA
02016,2018,Aleutians West Census Area,AK,58808,5293,311272,NA,NA,NA,NA,NA
02016,2019,Aleutians West Census Area,AK,60610,5271,319476,NA,NA,NA,NA,NA
02016,2020,Aleutians West Census Area,AK,63509,5206,330626,NA,NA,NA,NA,NA
02016,2021,Aleutians West Census Area,AK,65812,5059,332943,NA,NA,NA,NA,NA
02020,2015,Anchorage Municipality,AK,63524,300187,19069189,NA,NA,NA,NA,NA
02020,2016,Anchorage Municipality,AK,62142,300301,18661454,NA,NA,NA,NA,NA
02020,2017,Anchorage Municipality,AK,63261,297688,18832079,NA,NA,NA,NA,NA
02020,2018,Anchorage Municipality,AK,66067,294257,19440817,NA,NA,NA,NA,NA
02020,2019,Anchorage Municipality,AK,67317,292006,19657088,NA,NA,NA,NA,NA
02020,2020,Anchorage Municipality,AK,68815,290637,20000226,NA,NA,NA,NA,NA
02020,2021,Anchorage Municipality,AK,72032,288121,20754004,NA,NA,NA,NA,NA
02903,2015,Angoon Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02903,2016,Angoon Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02903,2017,Angoon Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02903,2018,Angoon Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02903,2019,Angoon Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02903,2020,Angoon Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02903,2021,Angoon Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02904,2015,Barrow-North Slope Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02904,2016,Barrow-North Slope Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02904,2017,Barrow-North Slope Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02904,2018,Barrow-North Slope Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02904,2019,Barrow-North Slope Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02904,2020,Barrow-North Slope Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02904,2021,Barrow-North Slope Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02050,2015,Bethel Census Area,AK,39955,18073,722114,NA,NA,NA,NA,NA
02050,2016,Bethel Census Area,AK,40834,18142,740804,NA,NA,NA,NA,NA
02050,2017,Bethel Census Area,AK,41984,18248,766119,NA,NA,NA,NA,NA
02050,2018,Bethel Census Area,AK,44376,18434,818030,NA,NA,NA,NA,NA
02050,2019,Bethel Census Area,AK,44649,18685,834269,NA,NA,NA,NA,NA
02050,2020,Bethel Census Area,AK,46299,18648,863375,NA,NA,NA,NA,NA
02050,2021,Bethel Census Area,AK,48189,18557,894243,NA,NA,NA,NA,NA
02905,2015,Bethel Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02905,2016,Bethel Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
02905,2017,Bethel Division,AK,NA,NA,NA,NA,NA,NA,NA,NA
