Year,State,GeoFIPS,Avg Rent,Income per capita,Population,Rent as Percent Income,Rent Change YOY,Percent Rent Change YOY,Rent as Percent Income Change YOY
2015,AL,01000,946.922489981602,43368.535058617665,1817285,26.201184486450146,NA,NA,NA
2016,AL,01000,981.1542586797447,43090.851188766865,2253049,27.323319868014583,34.23176869814267,3.6150549871096387,1.122135381564437
2017,AL,01000,1013.0912569605094,44528.19235836221,2270351,27.30201797927479,31.936998280764783,3.2550435365525163,-0.02130188873979222
2018,AL,01000,1088.8744211978856,45396.2256486476,2459155,28.783214612389013,75.78316423737613,7.480388732673681,1.481196633114223
2019,AL,01000,1144.4128801935963,47154.77772737628,2480085,29.12314557332824,55.5384589957107,5.100538493191169,0.3399309609392276
2020,AL,01000,1189.7588300884493,50203.94396593818,2498516,28.438215871541818,45.34594989485299,3.9623767505292307,-0.6849297017864231
2021,AL,01000,1299.491094354182,54523.43034158752,2794745,28.600352242246956,109.73226426573274,9.223067859691783,0.16213637070513798
2015,AR,05000,843.1792443912168,57170.83968083213,775266,17.698097472734776,NA,NA,NA
2016,AR,05000,913.037494690182,50861.81029002157,1240425,21.54160434677194,69.85825029896523,8.285100797209914,3.843506874037164
2017,AR,05000,938.7648775142201,51669.649926836966,1254732,21.802312471870575,25.727382824038045,2.817779442099257,0.2607081250986347
2018,AR,05000,959.8899027357214,53842.89022443934,1266311,21.393128758159268,21.125025221501346,2.2502999129493264,-0.40918371371130746
2019,AR,05000,994.3580988628563,54412.10472351356,1278815,21.92949022462252,34.46819612713489,3.590848911828249,0.5363614664632514
2020,AR,05000,1041.5235754352434,56977.17901208353,1295069,21.935594429082435,47.16547657238709,4.743308937326033,0.006104204459916218
2021,AR,05000,1143.4403206835284,59839.07296369941,1382016,22.93030818930998,101.916745248285,9.785351733943699,0.994713760227544
2015,AZ,04000,1010.1257892180807,41534.72007632403,5709342,29.184040360311887,NA,NA,NA
2016,AZ,04000,1064.1626945826874,42708.24330436577,5794298,29.90043922899274,54.036905364606696,5.349522400218654,0.7163988686808551
2017,AZ,04000,1127.0903377740908,44714.55938478842,5871411,30.247606684211743,62.92764319140338,5.91334797881451,0.34716745521900094
2018,AZ,04000,1206.5678954156158,46860.73966542235,6099451,30.89753778613749,79.47755764152498,7.051569424194206,0.6499311019257483
2019,AZ,04000,1300.39085103222,49650.67617363879,6194261,31.428958102833843,93.8229556166043,7.776019565337925,0.5314203166963516
2020,AZ,04000,1416.9694928528968,53802.92204910426,6295707,31.603551009211117,116.5786418206767,8.964892495832256,0.1745929063772742
2021,AZ,04000,1681.5939149724554,56151.81019526408,6810162,35.93673455850832,264.62442211955863,18.675378930478548,4.333183549297203
2015,CA,06000,1849.3879038408459,54790.758335411745,35648239,40.504376139920744,NA,NA,NA
2016,CA,06000,1974.0744927627852,57213.43176050655,37054642,41.40442756923638,124.68658892193935,6.742046309645897,0.9000514293156385
2017,CA,06000,2061.077179080973,59554.432403886865,37381676,41.52995024994557,87.0026863181879,4.407264601065011,0.1255226807091887
2018,CA,06000,2136.632637820298,62321.855296276044,37954621,41.14061035563496,75.55545873932488,3.6658238471697984,-0.3893398943106092
